#  W. Yin, Y. Fujita, Y. Ezoe, Y. Ishisaki, 2025
# https://arxiv.org/abs/2503.04726
# mass [eV]	photon coupling [GeV^-1]
4124.666666666666	1.969764414317466e-17
4125.333333333334	2.0761227059227792e-17
4126.	2.1106377158999874e-17
4126.666666666667	2.13302720224739e-17
4127.333333333334	2.155063668469385e-17
4128.	2.178156672423331e-17
4128.666666666667	2.202877951583279e-17
4129.333333333333	2.2271529778139176e-17
4130.	2.2469797570006035e-17
4130.666666666666	2.2584319761676662e-17
4131.333333333333	2.2591826843732754e-17
4132.	2.2489920964880587e-17
4132.666666666666	2.2293639211740702e-17
4133.333333333334	2.202868003930576e-17
4134.	2.1724194151190727e-17
4134.666666666667	2.1407290343245312e-17
4135.333333333334	2.1100094901898372e-17
4136.	2.0818757325050503e-17
4136.666666666667	2.0574681026203263e-17
4137.333333333333	2.037487095223203e-17
4138.	2.0100818223188666e-17
4138.666666666666	1.9981983542959083e-17
4139.333333333333	1.9909861798350928e-17
4140.	1.9881520367587417e-17
4140.666666666666	1.9892317308268768e-17
4141.333333333334	1.9935601181016447e-17
4142.	2.2041145171360797e-17
4142.666666666667	2.2212271636671003e-17
4143.333333333334	2.2396301320201048e-17
4144.	2.2575180883165677e-17
4144.666666666667	2.272285063593673e-17
4145.333333333333	2.279336445756711e-17
4146.	2.271927858568482e-17
4146.666666666666	2.2446501041942193e-17
4147.333333333333	2.19822871316153e-17
4148.	2.1389171894966216e-17
4148.666666666666	2.0734452762821265e-17
4149.333333333334	1.998262853482505e-17
4150.	1.9310647167698405e-17
4150.666666666667	1.8680574845362555e-17
4151.333333333334	1.8104123724644677e-17
4152.	1.7588099990592528e-17
4152.666666666667	1.713463785852697e-17
4153.333333333333	1.6742544492163905e-17
4154.	1.640860417200913e-17
4154.666666666666	1.6128647063214135e-17
4155.333333333333	1.5898386800302253e-17
4156.	1.5713636369454873e-17
4156.666666666666	1.488006609034603e-17
4157.333333333334	1.4782615026055062e-17
4158.	1.4717139721716086e-17
4158.666666666667	1.4682029545193268e-17
4159.333333333334	1.4677382567943045e-17
4160.	1.4705342945513714e-17
4160.666666666667	1.476838188225469e-17
4161.333333333333	1.4836765147099036e-17
4162.	1.4935339490106072e-17
4162.666666666666	1.5033511658294378e-17
4163.333333333333	1.511307566951364e-17
4164.	1.5164711377605797e-17
4164.666666666666	1.5185692086961818e-17
4165.333333333334	1.517436654365506e-17
4166.	1.512814955916295e-17
4166.666666666667	1.5045474419331158e-17
4167.333333333334	1.492752543524261e-17
4168.	1.4778836048974344e-17
4168.666666666667	1.460663805406795e-17
4169.333333333333	1.441959422230324e-17
4170.	1.4226373192871483e-17
4170.666666666667	1.4034830671851314e-17
4171.333333333333	1.3851605049453572e-17
4172.	1.3708992500339258e-17
4172.666666666666	1.3557956743953567e-17
4173.333333333333	1.6009846747311027e-17
4174.	1.5807106534744362e-17
4174.666666666667	1.5655871028196068e-17
4175.333333333334	1.555350003894225e-17
4176.	1.5490630849526488e-17
4176.666666666667	1.545559191774275e-17
4177.333333333333	1.5442753259281288e-17
4178.	1.545515192309975e-17
4178.666666666667	1.5499121265146404e-17
4179.333333333333	1.5578796171106896e-17
4180.	1.5695050307305156e-17
4180.666666666666	1.584691269559155e-17
4181.333333333333	1.603280535889798e-17
4182.	1.6250136089673434e-17
4182.666666666667	1.6527665384218693e-17
4183.333333333334	1.680206803544146e-17
4184.	1.708994236422287e-17
4184.666666666667	1.7379075710194354e-17
4185.333333333333	1.7654095978891698e-17
4186.	1.789728203098507e-17
4186.666666666667	1.808846820924194e-17
4187.333333333333	1.820484234652301e-17
4188.	1.8226002297328886e-17
4188.666666666666	1.814959044769645e-17
4189.333333333333	1.8003188838399955e-17
4190.	1.7831214759213716e-17
4190.666666666667	1.8244014998846725e-17
4191.333333333334	1.8060895793558624e-17
4192.	1.7912400178257824e-17
4192.666666666667	1.7796854933942674e-17
4193.333333333333	1.7715089960100412e-17
4194.	1.7638987646764806e-17
4194.666666666667	1.7628159015595872e-17
4195.333333333333	1.765977607397934e-17
4196.	1.7735640668086947e-17
4196.666666666666	1.785681313267157e-17
4197.333333333333	1.8023403050080544e-17
4198.	1.8234058964408458e-17
4198.666666666667	1.8483532696169356e-17
4199.333333333334	1.8757709831429122e-17
4200.	1.903267259481977e-17
4200.666666666667	1.9282696348028728e-17
4201.333333333333	1.9497427346190493e-17
4202.	1.968473144302535e-17
4202.666666666667	1.985337423477606e-17
4203.333333333333	1.9998455520086186e-17
4204.	2.0105217502376647e-17
4204.666666666666	2.016173121766098e-17
4205.333333333333	2.016656333544158e-17
4206.	2.14038454973338e-17
4206.666666666667	2.1266566233222892e-17
4207.333333333334	2.1121541694125043e-17
4208.	2.0988814794651048e-17
4208.666666666667	2.0886101143493358e-17
4209.333333333333	2.079453192529628e-17
4210.	2.07895341848851e-17
4210.666666666667	2.0851884079123184e-17
4211.333333333333	2.097793771675196e-17
4212.	2.1147733500942524e-17
4212.666666666666	2.1334119569509514e-17
4213.333333333333	2.152351084423158e-17
4214.	2.1722532810807636e-17
4214.666666666667	2.1941609734501764e-17
4215.333333333334	2.2177291400481675e-17
4216.	2.2410715832230494e-17
4216.666666666667	2.2617408106868442e-17
4217.333333333333	2.2776288875651734e-17
4218.	2.287455622305455e-17
4218.666666666667	2.2908932815703124e-17
4219.333333333333	2.2885209056751562e-17
